,Name,URL
215,Soul Clench,https://www.theeducatedbarfly.com/soul-clench/
216,The Jake Walk,https://www.theeducatedbarfly.com/the-jake-walk/
217,Añejo Highball,https://www.theeducatedbarfly.com/anejo-highball/
218,Kingston Negroni,https://www.theeducatedbarfly.com/kingston-negroni/
219,Gin Basil Smash,https://www.theeducatedbarfly.com/gin-basil-smash/
220,Chartreuse Swizzle,https://www.theeducatedbarfly.com/chartreuse-swizzle/
221,Little Italy,https://www.theeducatedbarfly.com/little-italy/
222,Full Windsor,https://www.theeducatedbarfly.com/full-windsor/
223,The Dnd wake me up,https://www.theeducatedbarfly.com/the-dnd-wake-me-up/
224,California Razorblade,https://www.theeducatedbarfly.com/california-razorblade/
225,Aquavit Espresso,https://www.theeducatedbarfly.com/aquavit-espresso/
226,Winter Basil Smash,https://www.theeducatedbarfly.com/winter-basil-smash/
227,Spiced Reverse Martini,https://www.theeducatedbarfly.com/spiced-reverse-martini/
228,Gimlet Highball,https://www.theeducatedbarfly.com/gimlet-highball/
229,Dot Line,https://www.theeducatedbarfly.com/dot-line/
230,Oaxacan Dead,https://www.theeducatedbarfly.com/oaxacan-dead/
231,Flannel Shirt,https://www.theeducatedbarfly.com/flannel-shirt/
232,El Diablo,https://www.theeducatedbarfly.com/26823-2/
233,Sabbatical,https://www.theeducatedbarfly.com/sabbatical/
234,Yuletide Peril,https://www.theeducatedbarfly.com/yuletide-peril/
235,The Ol’ Battle Axe,https://www.theeducatedbarfly.com/the-ol-battle-axe/
236,GOAT PB&J Sour,https://www.theeducatedbarfly.com/goat-pbj-sour/
237,Forbidden Fruit,https://www.theeducatedbarfly.com/forbidden-fruit/
238,The Stapleton (aka Tennessee Smooth),https://www.theeducatedbarfly.com/the-stapleton-aka-tennessee-smooth/
239,Across State Lines,https://www.theeducatedbarfly.com/across-state-lines/
240,Devil poison,https://www.theeducatedbarfly.com/devil-poison/
241,Magician’s Red,https://www.theeducatedbarfly.com/magicians-red/
242,Smoked banana daiquiri,https://www.theeducatedbarfly.com/smoked-banana-daiquiri/
